id,block_order,block_type,content_title_cn,content_title_en,content_body_cn,content_body_en,image_refs,,,,
led_painting_museum_2014,3,text_2col,Conclusions on Rendering Performance,Conclusions on Rendering Performance,【传统古典感 vs 当代感】<br/>实验证明：低色温（3000 K）与传统的古朴还原感、历史厚重体验呈显著的正相关。若展陈想要强化传统画作的古典岁月痕迹，应考虑低色温；若希望国画展品呈现现代、清透、更符合当代艺术馆的清爽特征，建议引入高色温（4000 K及以上）进行环境调配。,"""[Traditional Rendering vs Contemporary Feel]<br/>The study proves that low color temperature is positively correlated with the traditional rendering performance and sense of historic presence. If a classical ambience is required, lower CCT should be favored; whereas if exhibits need to feel contemporary and pristine, higher color temperatures are recommended.""",,,,,
led_painting_museum_2014,4,quote_highlight,Conclusions on Softness & Glare Control,Conclusions on Softness & Glare Control,【光强与刺眼感负相关铁律】<br/>光照强度（照度）与空间柔和感呈现极强的负相关。照度水平越高，垂直面上的刺眼程度和局部眩光会剧烈攀升。同时，柔和度也受到色温的制约：在同等高照度下，色温越高，光环境整体的柔和满意度越低，观众越容易表现出抗拒性的眼部疲劳。,"""[Illumination Intensity and Glare Controls]<br/>Overall, illumination shows a significant negative correlation with soft feeling; the higher the intensity of illumination, the greater degree of glare discomfort increases. Furthermore, softness shows a negative correlation with color temperature: under equal high-intensity light, higher CCT degrades softness, rendering the environment prone to visual glare and fatigue.""",,,,,
psa_gallery_lighting_design,1,hero_title,沟通艺术与观众的桥梁——上海当代艺术博物馆展厅照明设计分析,A Communication Bridge Between Art and Audience: Lighting Design Analysis of Exhibition Halls in the Power Station of Art Shanghai,文编：温浩 | 主建筑师：章明（同济研究院）<br/>主照明设计师：胡国剑（上海瑞逸环境设计 / 上海傲特盛电器）<br/>业主：上海世博土地控股有限公司 | 施工：上海建工二建集团,"""Editor: Wen Hao | Chief Architect: Zhang Ming (TJAD)<br/>Chief Lighting Designer: Guojian Hu (Radiant Design International / Shanghai Ultra Spectrum Co., Ltd.)<br/>Client: Shanghai World Expo Land Holding | Contractor: Shanghai Construction No.2 Group""",psa_lighting_cover.jpg,,,,
psa_gallery_lighting_design,2,text_1col,1. 工业遗存旧厂房改建背景,1. Industrial Renovation & Spatial Scale,上海当代艺术博物馆（PSA）选址于2010年上海世博会城市未来馆，其建筑前身是始建于1897年的中国近代工业标志——南市发电厂。改建后建筑主体长128米、宽70米、高50米，总面积增加至4万多平方米，展陈面积达15000平方米，共规划12个大型艺术展厅。高达165米的巨大钢筋混凝土烟囱直插云霄，见证了城市转型，并转化为先锋艺术的宏伟载体。,"""The Power Station of Art Shanghai (PSA) occupies the former Pavilion of Future of the 2010 Shanghai World Expo, originally the historic Nanshi Power Plant built in 1897. Post-renovation, the main structure measures 128m long, 70m wide, and 50m high, expanding the total floor area to over 40,000 sqm with 15,000 sqm of gallery space spread across 12 massive halls. The 165-meter iconic concrete chimney stands as a monumental landmark for contemporary creation.""",,,,,
psa_gallery_lighting_design,3,image_grid,PSA超级厂房超高大空间展厅实景,PSA Massive High-Ceiling Exhibition Gallery,上海当代艺术博物馆内部无柱大空间超高投光轨道排布、基础照明多回路融合实景图,"""Interior real photos showcasing the ultra-high track light installation, wireway layouts, and multi-circuit ambient illumination inside PSA galleries.""",psa_gallery_01.jpg;psa_gallery_tracks.jpg,,,,
psa_gallery_lighting_design,4,text_2col,2. 天然光与人工光的多场景平衡控制,2. Daylighting and Artificial Luminous Balance,【多回路精细场景调控流线】<br/>由于旧南市发电厂保留了大跨度的建筑外窗和天窗，空间内部具有丰富的天然采光。由于自然光强的不稳定性，照明设计采用了极其精细的分回路场景调控。一方面通过灯光实时补足深处暗区的照度，另一方面实现暗区到亮区的渐进自然过渡，以多场景调控来柔和匹配自然光随时间轴产生的强弱变化。,"""[Multi-Circuit Advanced Scenario Controls]<br/>As the renovated industrial architecture retains large-scale peripheral windows and daylight skylights, the interior inherits abundant daylighting. Given the fluctuation of natural daylight, the lighting design deploys highly detailed multi-circuit scenario systems. It compensates illumination in deep shadowed pockets while generating a smooth transition from dark to bright buffer zones.""",,,,,
psa_gallery_lighting_design,5,text_2col,3. 运营时段的分级照明策略,3. Operational Stage-Specific Lighting Control,【基于观众人流密度的动态功耗模式】<br/>设计师充分考虑了艺术馆在不同时段对光的不同诉求：在人流量高峰时期，控制系统会自动适当提高整体的环境照度与背景均匀度，确保观众良好的动线视觉观感；而在人流疏散、布展维护或闭馆清洁时段，则一键切换为低功耗、局部节能的基础照明模式，实现节能建筑指标。,"""[Audience Density-Based Dynamic Luminous Modes]<br/>The architects designed tailored illumination schemes for different operational stages: during peak audience hours, the system adjusts to higher ambient levels to guarantee clear circulation and visual comfort. Conversely, during evacuation, setting up exhibitions, or cleaning hours, it clicks into energy-saving baseline modes.""",,,,,
psa_gallery_lighting_design,6,text_1col,4. 颠覆传统的“明亮简洁”高照度环境空间策略,4. Modern 'Bright & Uniform' Ambient Strategy vs Traditional High Contrast,设计师摒弃了国内传统博物馆“将周围环境压得漆黑、用射灯将展品照得死亮”的高对比教条手法，为PSA开创性地运用了“明亮、简洁”的当代开放式展厅照明。这种手法的巨大颠覆在于：高均匀、高照度的背景环境能够显著消解观众长时间在幽暗空间里紧盯亮斑产生的“看展疲劳”与眩光焦虑，创造出极具呼吸感、自由且愿意长时间停留、探讨的开放式视觉空间。,"""The designers broke conventional domestic museum dogmas of 'keeping the environment pitch black and single-mindedly accentuating artifacts under high-contrast spotlights.' Instead, PSA pioneered a 'bright, minimal, and uniform' contemporary ambient layout. This highly integrated scheme significantly eliminates standard visual fatigue caused by staring at blinding spots in dark halls, nurturing a stress-free environment that increases stay times.""",,,,,
psa_gallery_lighting_design,7,quote_highlight,5. 20米高空轨道的极窄束控光与眩光歼灭指标,5. Technical Specs for the 20-Meter Ceiling Accent Light Angles,【超高大空间灯具精密选型】<br/>项目最硬核的技术挑战在于如何在高达 20 米的钢结构展厅顶部进行超长距离精准投光，且不能产生漫反射眩光：<br/>1. 选型精确卡位 **6度角以内** 极窄光束角的专业灯具。<br/>2. 历经 20 米的投射距离，成功将地面的有效重点光斑边界死死锁在 **3米以内**，杜绝溢散光。<br/>3. 展品表面照度维系在 300—400 lx，环境基础照度维系在 100 lx。光照对比度完美锁定在当代艺术最优雅的 **3:1 到 5:1** 之间，实现了高空投光的完美品控。,"""[Engineering Technical Constraints for Hyper-Scale High Ceilings]<br/>The primary engineering hurdle was delivering punchy accentuation from tracks mounted at a towering 20-meter height without secondary glare:<br/>1. Fixtures with an ultra-precise **narrow beam angle within 6 degrees** were custom deployed.<br/>2. Over a 20m throw distance, the beam edge on the floor was strictly confined within **3 meters**, completely eliminating light leak.<br/>3. Artifact accent levels are set at 300—400 lx against a 100 lx background, maintaining a flawless **3:1 to 5:1 contrast ratio**.""",,,,,
green_lighting_global_experience,1,hero_title,实施“绿色照明”的国际经验及其借鉴意义,International Experience of Implementing 'Green Lighting' and Its Referential Significance,作者：胡国剑（同济大学建筑与城市规划学院） | 发表杂志：《建筑节能》2008年第12期,"""Author: Guojian Hu (College of Architecture and Urban Planning, Tongji University) | Published in Building Energy Conservation, Dec 2008.""",green_lighting_cover.jpg,,,,
green_lighting_global_experience,2,text_1col,1. 全球用电增长与节能迫切性背景,1. Global Electricity Growth and Urgency for Conservation,全球照明用电长期占据总电力生产的1/10以上，我国同样面临该严峻形势。2005年我国全社会总发电用电量约24000亿千瓦时，其中照明耗电高达3000亿千瓦时，且每年以13%~14%的速度恶性递增，增幅大幅度超过了电力总消费的增长率。鉴于大面积城市建设与欠发达地区对光基本需求在持续释放，照明节能（绿色照明）被确立为国家可持续发展的长期重点战略骨干核心。,"""Global lighting load consistently accounts for over one-tenth of total electric generation, mirrorring China's stress. In 2005, China's total electricity load hit 2.4 trillion kWh, where lighting consumed 300 billion kWh and continues to compound aggressively at an annual velocity of 13%~14%, outstripping overall consumption growth. Lighting energy saving (Green Lighting Initiative) is fixed as a permanent core national strategy.""",,,,,
green_lighting_global_experience,3,text_2col,2. 美国与欧盟绿色照明推广范式对比,2. Institutional Paradigms: USA vs European Union,【美国环保署与欧盟非强制环保同盟】<br/>1. 美国经验：上世纪90年代初由美国环保署率先提出并落实“绿色照明”计划，前期获得巨大经济与生态双重红利；第二阶段自2000年起无缝并入“能源之星”（Energy Star）建筑能效框架，至2001年实现照明节电800亿千瓦时（折合标准煤2880万吨）。<br/>2. 欧盟经验：确立了“非强制性推广”的环保同盟顶层设计，由欧盟多国能源局、高校科研机构联合组织，聚焦市场能效准入准则门槛的打造。,"""[Paradigm Compares: United States EPA vs European Union]<br/>1. US Approach: Initiated in the early 1990s by the US EPA, the Green Lights program achieved historical dividends before merging into the 'Energy Star' building framework in 2000. By 2001, it saved 80 billion kWh (equivalent to 28.8 million tons of standard coal).<br/>2. EU Approach: Characterized as a voluntary collective initiative, it aggregates multiple member states' energy bureaus and research bodies to build strict minimum energy performance market standards.""",,,,,
green_lighting_global_experience,4,text_1col,3. 国际高效照明项目（ELI）的市场化两阶段演变,4. Two-Stage Evolution of the Efficient Lighting Initiative (ELI),国际高效照明项目（ELI）是一个高度成熟的全球多边机制，服务对象涵盖全球照明终端用户、政府决策高层以及照明产品跨国供应商。其发展分为两个极具借鉴意义的里程碑阶段：第一阶段在全球环境基金（GEF）的数额全额资助下，通过高度灵活的市场营销手段和津贴补助经济杠杆，刺激了紧凑型荧光灯（CFL）在全球发展中国家和转型期经济体内的需求爆炸式增长。第二阶段（1999-2003年）选择七个标杆示范国家实施纵深推广，获得GEF资助1500万美元，彻底建立了包含公众教育、能效标签标识标识计划、电力公司需求侧管理（DSM）以及厂商激励机制的完整绿色供应链。,"""The Efficient Lighting Initiative (ELI) represents an advanced multilateral global program bridging end-users, policy policymakers, and manufacturers. Its framework evolved through two key phases: Phase One, funded by the Global Environment Fund (GEF), used dynamic green marketing levers and financial subsidy incentives to explode Compact Fluorescent Lamp (CFL) adoptions across developing markets. Phase Two (1999-2003) localed ELI models within 7 representative nations with $15 million in GEF backup, perfecting an ecosystem combining mass public education, labeling initiatives, utility Demand-Side Management (DSM), and manufacturing stimulus packages.""",,,,,
green_lighting_global_experience,5,quote_highlight,5. 国际经验对中国照明节能体系的顶层设计启示,5. Core Policy启发 for China's Sustainable Lighting Framework,基于全球绿色体系的研究，报告最终向我国城市照明的规划建设提出了三大系统工程级启示性纲领：<br/>1. 必须努力构建全生命周期的“绿色照明综合评价体系”，将绿色指标和低碳约束协调有序地强行编入城市大照明专项规划建设的底层逻辑中。<br/>2. 必须火速完善并升级城市照明的设计能效标准，建立从宏观照明规划、技术方案评审到后期实地节能效果后评估的完整闭环流程。<br/>3. 全面引入国际通用的“合同能源管理（EMC）”市场化机制与电力需求侧管理，打破传统依靠政府财政单向输血的低效粗放模式，利用商业化节能机制驱动照明产业链绿化升级。,"""Based on international consensus, the study outlines three systematic programmatic instructions for China's macro-municipal engineering:<br/>1. China must assemble a full-lifecycle 'Green Lighting Comprehensive Evaluation System,' forcing green carbon constraints tightly into the bedrock layout of city master lighting plans.<br/>2. Energy efficacy standards must be upgraded instantly, defining standard closed-loop tracks spanning initial plan controls, expert technical blueprint reviews, to post-occupancy performance assessments.<br/>3. Fully integrate international Energy Management Contracting (EMC) and Demand-Side Management (DSM) market tools, replacing inefficient single-way state financing with scalable, self-sustaining green business workflows.""",,,,,
