列号,A,B,C,D,E,F,G,H,I,J,,
,7,20250708_shanghai_light_fest,我为“上海国际光影节徐汇分会场”献一计,My Suggestion for Shanghai Int'l Light Festival,论坛,Forum,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250708_shanghai_light_fest/01.webp, aspect-square,col-span-1 row-span-1,2025-07,"""slug: 20250708_shanghai_light_fest | title_cn: 上海国际光影节徐汇分会场圆桌会 | title_en: Shanghai International Light Festival Roundtable | desc_cn: 设计副总监金绮樱受邀参加光影节圆桌会，分享轻餐饮体系规划与光影衍生品方案。 | desc_en: Director shared planning ideas for the light festival."" ","""CN_Entities: 上海国际光影节;光谱艺汇;西岸滨江;AI生成技术 | EN_Entities: Shanghai International Light Festival; West Bund; AI technology"""
,8,20230403_muse_award,荣获美国MUSE设计奖,Won MUSE Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20230403_muse_award/01.webp,3:4,col-span-1 row-span-1,2023-04,"""slug: 20230403_muse_award | title_cn: 上海旭辉企业大厦荣获MUSE金奖 | title_en: CIFI TOWER Wins MUSE Gold Award | desc_cn: 旭辉企业大厦凭借融于城市肌理的灵动灯光设计荣获2023美国MUSE缪斯设计奖金奖。 | desc_en: CIFI TOWER won the 2023 MUSE Gold Award for its dynamic lighting."" ","""CN_Entities: MUSE缪斯设计奖;上海旭辉企业大厦;CIFI TOWER | EN_Entities: MUSE Design Awards; CIFI TOWER"""
,9,20250616_aald_award,荣获AALD亚洲照明设计奖,Won AALD Asian Lighting Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250616_aald_award/01.webp, aspect-square,col-span-1 row-span-1,2025-06,"""slug: 20250616_aald_award | title_cn: 荣获AALD亚洲照明设计奖优异之光 | title_en: Won AALD Asian Lighting Design Award | desc_cn: 宸嘉100与前滩太古商业入口装置斩获亚洲照明设计奖1项优异之光和1项非凡之光。 | desc_en: Won excellent and extraordinary light honors at AALD."" ","""CN_Entities: 亚洲照明设计奖;前滩太古里;嘉佰道;3000K-3500K色温 | EN_Entities: AALD; Qiantan Taikoo Li; 3000K-3500K"""
,10,20250919_xujiahui_park,徐家汇公园光污染防控及健康照明示范成果获多家官方媒体聚焦报道,Xujiahui Park Lighting Demo Covered by Media,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250919_xujiahui_park/01.webp, aspect-square,col-span-2 row-span-2,2025-09,"""slug: 20250919_xujiahui_park | title_cn: 徐家汇公园健康照明示范获媒体报道 | title_en: Xujiahui Park Lighting Featured by Media | desc_cn: 徐家汇公园“亮得健康”理念及飞碟灯控光技术引解放日报等多家官媒竞相报道。 | desc_en: Xujiahui Park's healthy lighting was featured by major media."" ","""CN_Entities: 徐家汇公园;光污染防控;飞碟灯;弹幕跑道;健康照明 | EN_Entities: Xujiahui Park; Light Pollution Control; Healthy Lighting"""
,11,20251218_ida_awards,荣获多项美国IDA国际设计大奖,Won Multiple IDA International Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20251218_ida_awards/01.webp, aspect-square,col-span-1 row-span-1,2025-12,"""slug: 20251218_ida_awards | title_cn: 荣获IDA国际设计大奖 | title_en: Won IDA International Design Awards | desc_cn: 弘美术馆、苏州保利紫金翡丽甲第获金奖，宸嘉100获银奖。 | desc_en: Hong Art Museum and others won IDA awards."" ","""CN_Entities: IDA国际设计大奖;弘美术馆;保利紫金翡丽甲第;宸嘉100 | EN_Entities: International Design Awards (IDA)"""
,12,20250401_ida_awards,荣获多项美国IDA国际设计大奖,Won Multiple IDA International Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250401_ida_awards/01.webp, aspect-square,col-span-1 row-span-1,2025-04,"""slug: 20250401_ida_awards | title_cn: 静安雕塑公园等项目荣获IDA大奖 | title_en: Jing'an Sculpture Park wins IDA | desc_cn: 上海静安雕塑公园、杭州中心荣获金奖，上海天空之城获银奖。 | desc_en: Jing'an Sculpture Park and Hangzhou Centre won IDA gold."" ","""CN_Entities: 静安雕塑公园;杭州中心;天空之城;4000K色温 | EN_Entities: Jing'an Sculpture Park; 4000K Color Temperature"""
,13,20251110_zhongzhao_award,荣获第二十届中照照明奖,Won 20th China Lighting Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20251110_zhongzhao_award/01.webp, aspect-square,col-span-1 row-span-1,2025-11,"""slug: 20251110_zhongzhao_award | title_cn: 荣获第二十届中照照明奖 | title_en: Won the 20th China Lighting Award | desc_cn: 大飞机园泛光照明获二等奖，豫园灯光秀及杭州中心获三等奖。 | desc_en: Won the 20th China Lighting Award for multiple projects."" ","""CN_Entities: 中照照明奖;大飞机园;豫园灯光秀;杭州中心 | EN_Entities: China Lighting Award; Yuyuan Garden"""
,14,20231025_news_share,近期动态分享,Recent Updates and Sharing,论坛,Forum,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20231025_news_share/01.webp,3:4,col-span-1 row-span-2,2023-10,"""slug: 20231025_news_share | title_cn: 控江中学论坛及央美客座讲师分享 | title_en: Recent News and Academic Sharing | desc_cn: 胡国剑参加控江中学论坛并受聘为央美研究生导师；金绮樱参加长三角博物馆光环境论坛。 | desc_en: RDI updates on academic sharing and forum attendance."" ","""CN_Entities: 数字化光环境;中央美术学院;长三角照明科技论坛 | EN_Entities: Central Academy of Fine Arts"""
,15,20231211_magnolia_award,荣获多项白玉兰照明奖,Won Multiple Magnolia Lighting Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20231211_magnolia_award/01.webp, aspect-square,col-span-1 row-span-1,2023-12,"""slug: 20231211_magnolia_award | title_cn: 荣获白玉兰照明奖 | title_en: Won Magnolia Lighting Awards | desc_cn: 苏州嘉德宥爱艺术中心获金奖，太古里、豫园等获银奖。 | desc_en: Suzhou Jiade You'ai Art Center won the gold Magnolia Lighting Award."" ","""CN_Entities: 白玉兰照明奖;嘉德宥爱艺术中心;前滩太古里;豫园 | EN_Entities: Magnolia Lighting Award; Taikoo Li"""
,16,20230911_muse_awards,荣获多项美国MUSE设计奖,Won Multiple MUSE Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20230911_muse_awards/01.webp, aspect-square,col-span-1 row-span-1,2023-09,"""slug: 20230911_muse_awards | title_cn: 再获MUSE设计大奖 | title_en: Won MUSE Design Awards Again | desc_cn: 豫园楼宇灯光项目及太古里等斩获MUSE大奖1白金3金2银。 | desc_en: Yuyuan lighting and Taikoo Li won MUSE awards."" ","""CN_Entities: MUSE设计奖;豫园;前滩太古里;桃浦智创广场;颂艺术中心 | EN_Entities: MUSE Design Awards; Yuyuan; Taikoo Li"""
,17,20240329_muse_awards,荣获多项美国MUSE设计奖,Won Multiple MUSE Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20240329_muse_awards/01.webp, aspect-square,col-span-1 row-span-1,2024-03,"""slug: 20240329_muse_awards | title_cn: 2024MUSE设计奖揭晓 | title_en: 2024 MUSE Design Awards | desc_cn: 上海静安雕塑公园、安远桥、上海影城修缮项目等获4项金奖。 | desc_en: Jing'an Sculpture Park and others won 4 MUSE gold awards."" ","""CN_Entities: 缪斯设计奖;静安雕塑公园;安远桥;上海影城;4000K | EN_Entities: MUSE Design Awards; LED"""
,18,20230710_credaward,第九届CREDAWARD地产设计大奖颁奖盛典,9th CREDAWARD Ceremony,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20230710_credaward/01.webp,3:4,col-span-1 row-span-1,2023-07,"""slug: 20230710_credaward | title_cn: 第九届CREDAWARD大奖 | title_en: 9th CREDAWARD Ceremony | desc_cn: 上海天文馆项目及上海中信泰富广场荣获CREDAWARD金奖及优秀奖。 | desc_en: Shanghai Astronomy Museum won gold at CREDAWARD."" ","""CN_Entities: CREDAWARD;地产设计大奖;上海天文馆;中信泰富广场 | EN_Entities: CREDAWARD; Shanghai Astronomy Museum"""
,19,20241202_lit_awards,荣获多项美国LIT照明设计大奖,Won Multiple LIT Lighting Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20241202_lit_awards/01.webp, aspect-square,col-span-1 row-span-1,2024-12,"""slug: 20241202_lit_awards | title_cn: 斩获美国LIT照明大奖 | title_en: Won LIT Lighting Design Awards | desc_cn: 安远桥、静安雕塑公园、云端之梦艺术装置等多个项目荣获LIT大奖。 | desc_en: Multiple projects including Anyuan Bridge won LIT Awards."" ","""CN_Entities: LIT照明设计大奖;安远桥;云端之梦;实时天气数据联动 | EN_Entities: LIT Lighting Design Award; Visual Programming"""
,20,20251120_lit_awards,荣获多项美国LIT照明设计大奖,Won Multiple LIT Lighting Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20251120_lit_awards/01.webp, aspect-square,col-span-1 row-span-1,2025-11,"""slug: 20251120_lit_awards | title_cn: 再度荣获LIT照明大奖 | title_en: Won LIT Awards Again | desc_cn: 徐汇西岸漩动装置、宸嘉100、徐家汇公园等获LIT大奖。 | desc_en: West Bund light installation and Xujiahui Park won LIT awards."" ","""CN_Entities: LIT大奖;漩动焕影;光影疗愈;照度计算模拟 | EN_Entities: LIT Lighting Design Award; 3000K-3500K"""
,21,20240712_credaward,荣获多项CREDAWARD地建师设计大奖,Won Multiple CREDAWARD Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20240712_credaward/01.webp,3:4,col-span-1 row-span-1,2024-07,"""slug: 20240712_credaward | title_cn: 荣获第十届CREDAWARD大奖 | title_en: Won 10th CREDAWARD Awards | desc_cn: 荣获优秀奖两枚，胡国剑先生获得卓越设计品牌领军人。 | desc_en: Won two excellent awards and leadership honor at CREDAWARD."" ","""CN_Entities: CREDAWARD;建发朗云;天空之城;4000K | EN_Entities: CREDAWARD; 4000K Color Temperature"""
,22,20230112_ida_awards,荣获美国IDA国际设计大奖,Won IDA International Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20230112_ida_awards/01.webp, aspect-square,col-span-1 row-span-1,2023-01,"""slug: 20230112_ida_awards | title_cn: 威海峯范、光明文化中心获IDA大奖 | title_en: Won IDA International Design Award | desc_cn: 金地华发威海、深圳光明文化艺术中心、凯德闵行等斩获IDA设计奖。 | desc_en: Won IDA awards for multiple commercial and cultural projects."" ","""CN_Entities: IDA国际设计大奖;参数化设计;重点照明 | EN_Entities: IDA; Parameterized Design"""
,23,20250729_lab0_center,光启乐活 场趣潮燃-安高若Lab0 Center发布会,Lab0 Center Release Event,开幕式,Opening,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250729_lab0_center/01.webp, aspect-square,col-span-1 row-span-1,2025-07,"""slug: 20250729_lab0_center | title_cn: 安高若Lab0 Center发布会 | title_en: Lab0 Center Release Event | desc_cn: 胡国剑受邀分享Lab0 Center照明设计，强调统一与变化及6000K高显色照明。 | desc_en: Shared lighting design concepts at the Lab0 Center launch."" ","""CN_Entities: 6000K色温;显色指数Ra≥95;防眩蜂窝格栅;R9值 | EN_Entities: 6000K Color Temperature; Ra≥95; R9"""
,24,20251002_muse_awards,荣获多项美国MUSE设计奖,Won Multiple MUSE Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20251002_muse_awards/01.webp,16:9,col-span-1 row-span-1,2025-10,"""slug: 20251002_muse_awards | title_cn: 荣获MUSE设计大奖 | title_en: Won MUSE Design Awards | desc_cn: 徐家汇公园疗愈灯光、苏州龙湖相城天街等4个项目荣获金奖。 | desc_en: Xujiahui Park and Suzhou Longfor projects won MUSE gold awards."" ","""CN_Entities: 缪斯设计奖;徐家汇公园疗愈灯光;光环境;照度计算模拟 | EN_Entities: MUSE Design Awards"""
,25,20230620_light_cross,光的跨界之旅上海市照明学会照明设计专业委员会交流会圆满召开,Cross-border Light Journey Forum Held Successfully,论坛,Forum,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20230620_light_cross/01.webp,3:4,col-span-1 row-span-2,2023-06,"""slug: 20230620_light_cross | title_cn: 光的跨界之旅交流会 | title_en: Cross-border Light Forum | desc_cn: 上海市照明学会“光的跨界之旅”论坛圆满召开，多位专家共探数字艺术与建造。 | desc_en: Successful conclusion of the lighting society forum on digital art."" ","""CN_Entities: 光的跨界之旅;数字艺术;建筑机器人数字建造;上海市照明学会 | EN_Entities: Light Art; Digital Art; AI"""
,26,20241025_shanghai_light_fest,穿梭光影，魅力上海——首届上海国际光影节圆满落幕,1st Shanghai International Light Festival Concluded,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20241025_shanghai_light_fest/01.webp, aspect-square,col-span-2 row-span-2,2024-10,"""slug: 20241025_shanghai_light_fest | title_cn: 首届上海国际光影节落幕 | title_en: Shanghai International Light Festival Concluded | desc_cn: 《漩动·焕影》等装置获优秀作品奖，三维打印与光影动态结合点亮滨江。 | desc_en: Our installations won excellent awards at the Shanghai Light Festival."" ","""CN_Entities: 上海国际光影节;光影艺术装置;三维打印技术;《漩动·焕影》 | EN_Entities: Shanghai International Light Festival; 3D Printing"""
,27,20230517_aald_award,荣获AALD亚洲照明设计奖,Won AALD Asian Lighting Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20230517_aald_award/01.webp, aspect-square,col-span-1 row-span-1,2023-05,"""slug: 20230517_aald_award | title_cn: 荣获AALD亚洲照明大奖 | title_en: Won AALD Lighting Design Award | desc_cn: 豫园楼宇灯光获优异之光，张家港金茂览秀城获特别之光。 | desc_en: Yuyuan lighting won excellent award at AALD."" ","""CN_Entities: 亚洲照明设计奖;豫园泛光;点光源 | EN_Entities: AALD; Yuyuan"""
,28,20250917_credaward_11th,喜获「第11届CREDAWARD地建师设计大奖」,Won 11th CREDAWARD Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250917_credaward_11th/01.webp, aspect-square,col-span-1 row-span-1,2025-09,"""slug: 20250917_credaward_11th | title_cn: 杭州中心等项目荣获CREDAWARD | title_en: Hangzhou Centre wins CREDAWARD | desc_cn: 杭州中心与苏州保利紫金翡丽甲第荣获第11届CREDAWARD优秀奖。 | desc_en: Hangzhou Centre won the 11th CREDAWARD excellent award."" ","""CN_Entities: CREDAWARD;亮度分级;色温调控 | EN_Entities: CREDAWARD; Color Temperature"""
,29,20231129_lit_awards,荣获多项美国LIT照明设计大奖,Won Multiple LIT Lighting Design Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20231129_lit_awards/01.webp,16:9,col-span-1 row-span-1,2023-11,"""slug: 20231129_lit_awards | title_cn: 荣获LIT照明设计大奖 | title_en: Won LIT Lighting Design Awards | desc_cn: 苏州嘉德宥爱艺术中心、桃浦智创获优胜奖；豫园等获荣誉奖。 | desc_en: Won LIT Awards for Jiade You'ai and Yuyuan projects."" ","""CN_Entities: LIT照明设计大奖;漫反射照明;色温 | EN_Entities: LIT Lighting Design Award"""
,30,20251106_jingan_landmark,静安新地标 灯光小品《迸发的旋律》璀璨亮相,New Landmark in Jing'an: Melody of Outburst Debuts,展览,Exhibition,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20251106_jingan_landmark/01.webp,3:4,col-span-1 row-span-1,2025-11,"""slug: 20251106_jingan_landmark | title_cn: 《迸发的旋律》静安新地标亮相 | title_en: Jing'an Landmark Light Art Debuts | desc_cn: 融合机械动态与数字光学的《迸发的旋律》在静安璀璨亮相。 | desc_en: The dynamic mechanical lighting installation debuted in Jing'an."" ","""CN_Entities: 迸发的旋律;特种树脂叶片;机械动态艺术;数字光学 | EN_Entities: Digital Optics; Mechanical Dynamic Art"""
,31,20240710_aladdin_award,荣获多项阿拉丁神灯奖,Won Multiple Aladdin Lamp Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20240710_aladdin_award/01.webp, aspect-square,col-span-1 row-span-1,2024-07,"""slug: 20240710_aladdin_award | title_cn: 荣获阿拉丁神灯奖 | title_en: Won Aladdin Lamp Awards | desc_cn: 上海静安雕塑公园、天空之城获奖，胡国剑先生受聘为提名委员。 | desc_en: Won Aladdin Lamp Awards for multiple urban projects."" ","""CN_Entities: 阿拉丁神灯奖;4000K;点光源 | EN_Entities: Aladdin Lamp Award; 4000K"""
,32,20250703_credaward_nominee,入围「第11届CREDAWARD地建师设计大奖」榜单,Shortlisted for 11th CREDAWARD,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250703_credaward_nominee/01.webp, aspect-square,col-span-1 row-span-1,2025-07,"""slug: 20250703_credaward_nominee | title_cn: 入围第11届CREDAWARD大奖 | title_en: Shortlisted for 11th CREDAWARD | desc_cn: 杭州中心与保利翡丽甲第成功入围金银奖角逐。 | desc_en: Hangzhou Centre is shortlisted for the CREDAWARD Gold/Silver."" ","""CN_Entities: 地建师设计大奖;照度计算;色温调控 | EN_Entities: CREDAWARD; Illuminance"""
,33,20250110_magnolia_award,荣获多项白玉兰照明奖,Won Multiple Magnolia Lighting Awards,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250110_magnolia_award/01.webp, aspect-square,col-span-1 row-span-1,2025-01,"""slug: 20250110_magnolia_award | title_cn: 杭州中心等项目荣获白玉兰奖 | title_en: Won Magnolia Lighting Awards | desc_cn: 杭州中心、安远桥幻彩发光板、超极合生汇穹顶灯光获奖。 | desc_en: Won Magnolia Lighting Awards for projects including Anyuan Bridge."" ","""CN_Entities: 白玉兰照明奖;幻彩树脂发光板;舞台图案灯;实时数据处理 | EN_Entities: Magnolia Lighting Award; Real-time Data"""
,34,20230724_zhongzhao_award,荣获中照照明奖,Won China Lighting Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20230724_zhongzhao_award/01.webp, aspect-square,col-span-1 row-span-1,2023-07,"""slug: 20230724_zhongzhao_award | title_cn: 前滩太古里荣获中照照明奖 | title_en: Taikoo Li Wins China Lighting Award | desc_cn: 强调自然与光关系的前滩太古里项目荣获中照照明奖。 | desc_en: Qiantan Taikoo Li lighting project won the China Lighting Award."" ","""CN_Entities: 中照照明奖;前滩太古里;暗藏照明 | EN_Entities: China Lighting Award"""
,35,20240624_aald_award,荣获AALD亚洲照明设计奖,Won AALD Asian Lighting Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20240624_aald_award/01.webp, aspect-square,col-span-1 row-span-1,2024-06,"""slug: 20240624_aald_award | title_cn: 荣获AALD优异之光 | title_en: Won AALD Excellent Light | desc_cn: 苏州河安远桥与杭州中心项目荣获2项亚洲照明大奖优异之光。 | desc_en: Anyuan Bridge and Hangzhou Centre won AALD awards."" ","""CN_Entities: 亚洲照明设计奖;单灯单控线条灯;色温选择 | EN_Entities: AALD; Linear Lighting"""
,36,20250520_lighting_salon,声光交响·未来无界上海市照明学会沙龙圆满落幕,Acoustic and Light Symphony Salon Concluded,论坛,Forum,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250520_lighting_salon/01.webp,3:4,col-span-1 row-span-1,2025-05,"""slug: 20250520_lighting_salon | title_cn: 同济大学声光电交互沙龙 | title_en: Acoustic and Light Interactive Salon | desc_cn: 同济光环境实验室开展声控光影前沿探索，我司提供编程技术支持。 | desc_en: Explored interactive acoustic and lighting tech at Tongji University."" ","""CN_Entities: 动态灯光;声光电交互;AI灯光编程;光环境实验室 | EN_Entities: Interactive Lighting; AI Programming"""
,37,20250725_xujiahui_park_launch,徐家汇公园光污染防控示范基地正式揭牌,Xujiahui Park Demo Base Unveiled,开幕式,Opening,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250725_xujiahui_park_launch/01.webp,16:9,col-span-2 row-span-1,2025-07,"""slug: 20250725_xujiahui_park_launch | title_cn: 徐家汇公园健康照明基地揭牌 | title_en: Xujiahui Park Lighting Demo Base Unveiled | desc_cn: 基于科技创新行动计划的光污染防控及健康照明基地正式落成揭牌。 | desc_en: The healthy lighting demo base in Xujiahui Park was officially launched."" ","""CN_Entities: 光污染防控;健康照明示范基地;防控-疗愈智能照明体系 | EN_Entities: Light Pollution Control; Smart Lighting System"""
,38,20250930_ies_award,喜获美国IES照明奖,Won IES Illumination Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20250930_ies_award/01.webp, aspect-square,col-span-1 row-span-1,2025-09,"""slug: 20250930_ies_award | title_cn: 斩获顶级大奖美国IES照明奖 | title_en: Won Top Tier IES Illumination Award | desc_cn: 我司上海前滩太古商业入口吊顶艺术装置荣获全球权威的IES照明奖。 | desc_en: Our Taikoo Li commercial entrance installation won the prestigious IES Award."" ","""CN_Entities: IES照明奖;前滩太古里;光纤照明 | EN_Entities: IES Illumination Award; Fiber Optic Lighting"""
,39,20241024_iald_award,荣获第41届IALD国际照明设计大奖,Won 41st IALD International Lighting Design Award,奖项,Award,https://rdilighting.oss-cn-hongkong.aliyuncs.com/news/20241024_iald_award/01.webp, aspect-square,col-span-2 row-span-2,2024-10,"""slug: 20241024_iald_award | title_cn: 斩获第41届IALD国际大奖 | title_en: Won 41st IALD Lighting Design Award | desc_cn: 苏州河安远桥动态雷达感应交互照明荣获全球最高荣誉IALD大奖。 | desc_en: Anyuan Bridge's interactive lighting won the prestigious IALD Award."" ","""CN_Entities: IALD国际照明设计大奖;雷达感应装置;幻彩树脂发光板 | EN_Entities: IALD International Lighting Design Awards; Radar Sensor"""
