project_id,block_order,block_type,layout_style,content_1_cn (左侧/主内容),content_1 _en(左侧/主内容),content_2_cn (右侧/次内容),content_2_en (右侧/次内容)
nanjing-baiyunting,3,text_2col,50-50,"### 昔日冷藏厂的华丽转身
项目前身为南京市冷冻厂，如今已蜕变为占地2.5万平方米的城市地标。照明团队从建筑的“折扇”理念中汲取灵感，摒弃了传统的外投光模式，转而采用内透光的表现手法，赋予了这座巨型建筑轻盈、呼吸的视觉质感。","### The Gorgeous Transformation of a Former Cold Storage
Formerly the Nanjing Cold Storage Factory, the project has transformed into a 25,000 sqm urban landmark. Inspired by the architectural 'folded fan' concept, the lighting team abandoned traditional external floodlighting in favor of an internal glow, endowing this massive structure with a lightweight, breathing visual texture.","### 折扇幕墙与光影灯笼
光效的核心在于铝板背后的隐秘打光。柔和的LED光源经过墙面反射，透过不同孔径的穿孔铝板溢出，形成一种类似古代“纸灯笼”的温润光晕。在夜空下，建筑如同漂浮在城市上空的巨型折纸艺术品。","### Folded Fan Curtain Wall and Shadow Lantern
The core of the light effect lies in the concealed illumination behind the aluminum panels. Soft LED sources reflect off the walls and spill through the varying apertures of the perforated panels, creating a warm halo similar to an ancient 'paper lantern'. At night, it resembles a giant origami artwork floating above the city."
nanjing-baiyunting,4,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/03.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/04.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/05.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/06.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/07.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/08.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/09.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/10.webp",,,
nanjing-baiyunting,5,text_1col,align-left,"### 内部空间的光学引导
步入建筑内部，自然光与人工光的交织构成了参观的动线。中央的中庭采用了高耸的采光顶，照明设计补充了柔和的漫反射光，确保即使在阴雨天气或夜间，市民依然能感受到如户外般开阔、明朗的公共文化氛围。","### Optical Guidance in the Interior Space
Stepping inside, the interplay of natural and artificial light forms the circulation path. The central atrium features a towering skylight. The lighting design supplements this with soft, diffuse reflection, ensuring that even on rainy days or at night, citizens can experience an open, bright public cultural atmosphere akin to the outdoors.",,
nanjing-baiyunting,6,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/11.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/12.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/13.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/14.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/15.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/16.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/17.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/18.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/19.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/20.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/21.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/22.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/23.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/24.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/25.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/26.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/27.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/28.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/29.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/30.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/31.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/32.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/33.webp",,,
nanjing-baiyunting,7,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/nanjing-baiyunting/34.webp,,,
nanjing-baiyunting,8,text_1col,align-center,*不露声色的光影，于无声处诉说设计的力量与建筑生命的延续。*,*Unobtrusive light and shadow silently narrate the power of design and the continuation of architectural life.*,,
shanghai-nhm,1,text_1col,align-center,"### 探索自然生态的生命之光
上海自然博物馆建筑灵感源于“螺”的壳体结构。设计秉持视觉展示、生态科学与低碳绿色的三大原则，创新性地将自然光引入室内展陈。通过智能控制系统与透视幕帘，完美平衡博物馆的室内人工光与室外自然采光，针对珍稀标本精准控制曝光量，在上海市中心打造出极具呼吸感的自然探索空间。","### Exploring the Light of Life in Natural Ecology
Inspired by the nautilus shell, the Shanghai Natural History Museum integrates natural daylight as a primary exhibition light source. Adhering to visual display, ecological science, and low-carbon design, intelligent controls and perspective curtains balance indoor artificial lighting with outdoor daylight. It creates an immersive, breathing natural exploration space in downtown Shanghai while controlling exposure for specimens.",,
shanghai-nhm,2,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/02.webp,,,
shanghai-nhm,3,text_2col,50-50,"### 源自鹦鹉螺的生态演进
建筑外观与内部动线如同鹦鹉螺般盘旋而下，隐喻了地球生命的演化历程。照明设计不再局限于被动的黑盒子展陈，而是大胆拥抱自然光。在“起源之谜”与“生命长河”展区，阳光穿透巨大的玻璃幕墙倾泻而下，让远古化石在自然节律中焕发生机。","### Ecological Evolution from the Nautilus
The architecture spirals downwards like a nautilus, metaphorically representing the evolutionary history of life on Earth. The lighting design moves beyond passive black-box exhibitions, boldly embracing natural daylight. In the 'Mystery of Origin' and 'River of Life' zones, sunlight cascades through massive glass walls, bringing ancient fossils to life within nature's rhythm.","### 严苛的珍贵标本滤光保护
自然光是一把双刃剑。为了防止紫外线和强光对脆弱动植物标本造成不可逆的损害，团队引入了高科技的智能卷帘与自适应调光设备。通过精确的光通量计算，实现了视觉通透感与展品文物保护之间的绝佳平衡，做到了真正的生态照明。","### Strict Light Filtration for Rare Specimens
Natural light is a double-edged sword. To prevent irreversible UV and harsh light damage to fragile flora and fauna specimens, the team introduced high-tech smart blinds and adaptive dimming. Through precise luminous flux calculations, they achieved a perfect balance between visual transparency and artifact conservation—true ecological lighting."
shanghai-nhm,4,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/03.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/04.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/05.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/06.webp",,,
shanghai-nhm,5,text_1col,align-left,"### 探索微观与宏观的光影视角
在“生存智慧”及“生态万象”等地下展区，光线由开阔转向聚焦。高显色指数（CRI>95）的轨道聚光灯被精准投射到每一个微缩景观模型和标本上。低色温的光斑在昏暗的环境中勾勒出动物毛发的质感与骨骼的纹理，营造出极具戏剧张力与探索乐趣的科普微空间。","### Exploring Micro and Macro Light Perspectives
In underground zones like 'Survival Wisdom' and 'Ecological Panorama', the light shifts from open to focused. High-CRI (CRI>95) track spotlights are precisely aimed at every diorama and specimen. Low-color-temperature light spots trace the textures of animal fur and bone patterns in the dim environment, creating a highly dramatic and engaging educational micro-space.",,
shanghai-nhm,6,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/07.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/08.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/09.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/10.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/11.webp",,,
shanghai-nhm,7,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-nhm/12.webp,,,
shanghai-nhm,8,text_1col,align-center,*以光为引，穿越亿万年的时光长河，在明暗之间触碰自然生命的脉搏。*,"*Guided by light, crossing billions of years in the river of time, touching the pulse of natural life amidst light and shadow.*",,
guangzhou-xpeng,1,text_1col,align-center,"### 探索未来的科技地标
位于广州天河区的小鹏汽车新总部大楼，以极具辨识度的建筑语言诠释未来出行理念。照明设计巧妙地将小鹏专属的“X”品牌符号隐匿于建筑横向肌理之中，通过智能幕墙照明展现充满科幻感与前卫感的立面夜景，以光影铸就大湾区智能制造的全新视觉名片。","### A Tech Landmark Exploring the Future
Located in Tianhe, Guangzhou, the new XPeng Motors Headquarters interprets future mobility through highly recognizable architectural language. The lighting design ingeniously embeds the exclusive 'X' brand symbol within the horizontal textures, presenting a sci-fi and avant-garde facade nightscape, forging a new visual business card for Greater Bay Area smart manufacturing.",,
guangzhou-xpeng,2,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/02.webp,,,
guangzhou-xpeng,3,text_2col,50-50,"### 隐匿于肌理的品牌符号X
设计打破了传统办公楼千篇一律的夜景模式，将建筑幕墙的横向百叶作为光的载体。在光线的编排上，小鹏汽车标志性的“X”元素被巧妙地转化为灯光代码，在夜间以动态或静谧的形式浮现。这种“见光不见灯”的处理手法，使得建筑本身成为了一件巨型的品牌灯光装置。","### The Brand Symbol X Hidden in Textures
The design breaks the monotonous night view of traditional office buildings by using the facade's horizontal louvers as light carriers. In the choreography, XPeng's iconic 'X' element is cleverly transformed into light codes, surfacing dynamically or statically at night. This 'seeing the light, not the fixture' approach turns the building into a massive brand light installation.","### 室内极简的工业质感空间
呼应外观的科技属性，室内的光环境设计同样克制而极简。在车辆展示大厅中，纯粹的高亮度面光源如天空般均光洒落，完美勾勒出汽车工业设计的流线与金属光泽。办公区域则采用了高品质的防眩光线性照明，为员工提供了一个高效、清晰且富有灵感的工作环境。","### Minimalist Industrial Textured Interiors
Echoing the exterior's tech attributes, the interior light environment is equally restrained and minimalist. In the vehicle showroom, pure, high-brightness planar light sources scatter evenly like the sky, flawlessly outlining the automotive streamlines and metallic luster. Office areas utilize high-quality anti-glare linear lighting, providing an efficient and inspiring workspace."
guangzhou-xpeng,4,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/03.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/04.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/05.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/06.webp",,,
guangzhou-xpeng,5,text_1col,align-left,"### 动静结合的城市脉搏
作为城市天际线的一部分，塔冠的照明通过编程式控制系统，能够根据节日、活动或企业重要时刻展现多维度的色彩律动。它不再是一栋静态的建筑，而是一个能够与广州这座城市同频共振、具有数字生命的未来发光体。","### Dynamic and Static Urban Pulse
As part of the city skyline, the crown lighting employs a programmable control system capable of displaying multi-dimensional color rhythms for holidays or important corporate moments. It is no longer a static building but a futuristic luminous body with digital life, resonating at the same frequency as the city of Guangzhou.",,
guangzhou-xpeng,6,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/07.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/08.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/10.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/11.webp",,,
guangzhou-xpeng,7,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/guangzhou-xpeng/12.webp,,,
guangzhou-xpeng,8,text_1col,align-center,*让光成为未来的引擎，以数字的脉动照亮通往明日的探索之路。*,"*Let light become the engine of the future, illuminating the path of exploration to tomorrow with a digital pulse.*",,
suzhou-jinxi,1,text_1col,align-center,"### 雅致江南的光影礼赞
苏州锦溪示范区将高端人居体验与江南地域文化无缝嫁接。住宅与样板间照明设计遵循“以光为诗”的理念，摒弃繁复的直接光源，大面积运用洗墙灯带与重点照明。柔和的光晕在高级定制的材质表面流转，塑造了优雅静谧的空间格调，彰显了高端圈层对私密性与生活质感的极致追求。","### An Ode to Elegant Jiangnan Light and Shadow
The Suzhou Jinxi Demonstration Zone seamlessly grafts luxury residential experiences with regional Jiangnan culture. The residential and sample room lighting design follows the 'light as poetry' philosophy, discarding complex direct sources for extensive wall-washing strips and accent lighting. Soft halos dance across custom materials, shaping an elegant and tranquil spatial tone.",,
suzhou-jinxi,2,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/02.webp,,,
suzhou-jinxi,3,text_2col,50-50,"### 水墨江南与现代奢居的碰撞
设计初衷旨在让古老的水乡文化在当代建筑空间中复苏。室内光线如同挥洒的水墨，在木饰面、石材与金属之间轻柔流转。低色温（2700K-3000K）光源的大量使用，成功营造出一种内敛、含蓄却极富温情的高级居住体验，仿佛将室外的朦胧月色请入了内室。","### Collision of Ink-Wash Jiangnan and Modern Luxury
The design intent revives ancient water-town culture within contemporary architectural spaces. Indoor light flows gently like splashed ink across wood veneers, stone, and metal. The extensive use of low color temperature (2700K-3000K) sources successfully creates a restrained, subtle, yet highly affectionate premium living experience, as if inviting hazy moonlight indoors.","### 见光不见灯的雅致氛围
极致的奢华往往藏于细节的克制中。为了保持空间的纯粹感，灯具被巧妙地隐藏在天花暗槽、地脚线与陈列柜内。通过细致的光学透镜计算，光线精准地洗刷墙面、点亮艺术摆件，避免了任何突兀的眩光干扰，在不经意间勾勒出居住者卓尔不凡的生活品味。","### Elegant Vibe of Seeing Light, Not Fixtures
Ultimate luxury often hides in restrained details. To maintain spatial purity, fixtures are cleverly hidden in ceiling coves, baseboards, and display cabinets. Through meticulous optical lens calculations, light precisely washes walls and illuminates art pieces, avoiding any abrupt glare interference, inadvertently outlining the residents' extraordinary lifestyle taste."
suzhou-jinxi,4,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/03.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/04.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/05.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/06.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/07.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/08.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/09.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/10.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/11.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/12.webp",,,
suzhou-jinxi,5,text_1col,align-left,"### 模糊内外的边界感
落地大窗与户外的庭院景观形成了视觉上的连续体。夜间的庭院景观照明秉持同样的低调作风，以低矮的草坪灯与树木投光为主，光效逐层向外递减。这种光环境的延续性，不仅消融了建筑的物理边界，更让居住者在夜晚获得被自然包裹的安全感与归属感。","### Blurring the Boundaries of Inside and Out
Floor-to-ceiling windows and outdoor courtyard landscapes form a visual continuum. The nighttime landscape lighting adheres to the same low-profile style, dominated by low lawn lights and tree uplighting, with light effects diminishing outwards. This continuity of the light environment dissolves physical boundaries, granting residents a sense of security wrapped in nature.",,
suzhou-jinxi,6,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/13.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/14.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/15.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/16.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/17.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/18.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/19.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/20.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/21.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/22.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/23.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/24.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/25.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/26.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/27.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/28.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/29.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/30.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/31.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/32.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/33.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/34.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/35.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/36.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/37.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/38.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/39.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/40.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/41.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/42.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/43.webp",,,
suzhou-jinxi,7,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/suzhou-jinxi/44.webp,,,
suzhou-jinxi,8,text_1col,align-center,*借一缕清辉，入梦烟雨江南；用光影的留白，书写现代人居的静谧篇章。*,*Borrowing a ray of moonlight to dream of misty Jiangnan; using the negative space of light and shadow to write a tranquil chapter of modern living.*,,
shanghai-suitangli,1,text_1col,align-center,"### 极致感官的飨宴之光
坐落于上海太古汇镛舍酒店内的随堂里中餐厅，将高定餐饮体验推向了极致。室内照明深谙高级餐饮的光学心理，通过超低色温与极高显色性光源的大面积运用，营造出私密、内敛却极具食欲诱惑力的餐区环境。精细的桌面聚光与环境弱光形成对比，让每一道佳肴都在光影流转中成为艺术品。","### The Light of an Ultimate Sensory Feast
Located within The Middle House at Taikoo Hui, Shanghai, the Sui Tang Li Chinese restaurant elevates haute dining to the extreme. The interior lighting profoundly understands the optical psychology of fine dining. Through the extensive use of ultra-low color temperature and high CRI light sources, it creates a private, restrained, yet highly appetizing dining environment. Fine table spotlighting contrasts with dim ambient light, turning every dish into a work of art.",,
shanghai-suitangli,2,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/02.webp,,,
shanghai-suitangli,3,text_2col,50-50,"### 高级餐饮的光学心理战
在随堂里，灯光不仅仅是照明工具，更是情绪的催化剂。整体空间采用了2700K的极暖色温，这种类似于烛光的色彩基调，瞬间拉近了就餐者之间的心理距离。大面积的暗环境背景消解了公共空间的嘈杂感，为每一桌宾客在光学上建立了一道隐形的私密屏风。","### Optical Psychology of Fine Dining
At Sui Tang Li, lighting is not just an illumination tool but an emotional catalyst. The overall space uses an extremely warm 2700K color temperature; this candle-like tone instantly bridges the psychological distance between diners. The large dark background dissolves the noise of the public space, establishing an invisible optical screen of privacy for each table.","### 让食物如艺术品般呈现
桌面是整个餐厅唯一的绝对视觉焦点。显色指数(CRI)高达95以上的定制射灯精准捕捉餐盘的范围。当浓郁的高饱和度菜肴被聚光灯照亮时，其色泽与纹理得到了最大程度的还原与放大，光线仿佛化身为“天然滤镜”，极大地刺激了食客的味蕾与食欲。","### Presenting Food as Artwork
The tabletop is the only absolute visual focus in the entire restaurant. Custom spotlights with a CRI over 95 precisely target the plate area. When rich, highly saturated dishes are illuminated by the spotlight, their colors and textures are maximally restored and amplified. The light acts as a 'natural filter', immensely stimulating diners' taste buds and appetite."
shanghai-suitangli,4,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/03.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/04.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/05.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/06.webp",,,
shanghai-suitangli,5,text_1col,align-left,"### 海派元素的光影重塑
餐厅设计融合了上海石库门的复古元素与 Art Deco 几何语言。照明在此并未宣兵夺主，而是顺应建筑的肌理，在隔断、吧台与走廊处施以极其微弱的间接照明（仅5-15lux），让那些精致的黄铜、绒面与老木头在暗光中泛出岁月的低调奢华，构建出极具摩登感的海派东方美学。","### Shadow Reshaping of Shanghai-Style Elements
The restaurant design blends vintage Shanghai Shikumen elements with Art Deco geometric language. The lighting does not overpower but follows the architectural texture, applying extremely dim indirect illumination (only 5-15 lux) to partitions, bars, and corridors. Exquisite brass, velvet, and old wood emit a low-key luxury of age in the dim light, constructing a highly modern Shanghai-style Oriental aesthetic.",,
shanghai-suitangli,6,image_grid,masonry,"https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/07.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/08.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/09.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/10.webp,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/11.webp",,,
shanghai-suitangli,7,image_full,full-width,https://rdilighting.oss-cn-hongkong.aliyuncs.com/projects/shanghai-suitangli/12.webp,,,
